group_id,timestamp,target,month,quarter,season,lag_1m,lag_12m,rolling_mean_3m,rolling_mean_12m
28,2024-10-01 00:00:00+00:00,"0,0000",10,4,4,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2024-11-01 00:00:00+00:00,"0,0000",11,4,4,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2024-12-01 00:00:00+00:00,"0,0000",12,4,1,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2025-01-01 00:00:00+00:00,"0,0000",1,1,1,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2025-02-01 00:00:00+00:00,"0,0000",2,1,1,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2025-03-01 00:00:00+00:00,"0,0000",3,1,2,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2025-04-01 00:00:00+00:00,"0,0000",4,2,2,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2025-05-01 00:00:00+00:00,"0,0000",5,2,2,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2025-06-01 00:00:00+00:00,"0,0000",6,2,3,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2025-07-01 00:00:00+00:00,"0,0000",7,3,3,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2025-08-01 00:00:00+00:00,"0,0000",8,3,3,"20,645,468","21,227,396","20,270,693","40,761,464"
28,2025-09-01 00:00:00+00:00,"0,0000",9,3,4,"20,645,468","21,227,396","20,270,693","40,761,464"
29,2024-10-01 00:00:00+00:00,"0,0000",10,4,4,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2024-11-01 00:00:00+00:00,"0,0000",11,4,4,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2024-12-01 00:00:00+00:00,"0,0000",12,4,1,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2025-01-01 00:00:00+00:00,"0,0000",1,1,1,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2025-02-01 00:00:00+00:00,"0,0000",2,1,1,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2025-03-01 00:00:00+00:00,"0,0000",3,1,2,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2025-04-01 00:00:00+00:00,"0,0000",4,2,2,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2025-05-01 00:00:00+00:00,"0,0000",5,2,2,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2025-06-01 00:00:00+00:00,"0,0000",6,2,3,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2025-07-01 00:00:00+00:00,"0,0000",7,3,3,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2025-08-01 00:00:00+00:00,"0,0000",8,3,3,"1,209,202","1,205,215","1,255,974","1,318,903"
29,2025-09-01 00:00:00+00:00,"0,0000",9,3,4,"1,209,202","1,205,215","1,255,974","1,318,903"
30,2024-10-01 00:00:00+00:00,"0,0000",10,4,4,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2024-11-01 00:00:00+00:00,"0,0000",11,4,4,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2024-12-01 00:00:00+00:00,"0,0000",12,4,1,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2025-01-01 00:00:00+00:00,"0,0000",1,1,1,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2025-02-01 00:00:00+00:00,"0,0000",2,1,1,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2025-03-01 00:00:00+00:00,"0,0000",3,1,2,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2025-04-01 00:00:00+00:00,"0,0000",4,2,2,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2025-05-01 00:00:00+00:00,"0,0000",5,2,2,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2025-06-01 00:00:00+00:00,"0,0000",6,2,3,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2025-07-01 00:00:00+00:00,"0,0000",7,3,3,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2025-08-01 00:00:00+00:00,"0,0000",8,3,3,"3,898,803","4,051,718","3,884,727","6,881,379"
30,2025-09-01 00:00:00+00:00,"0,0000",9,3,4,"3,898,803","4,051,718","3,884,727","6,881,379"
36,2024-10-01 00:00:00+00:00,"0,0000",10,4,4,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2024-11-01 00:00:00+00:00,"0,0000",11,4,4,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2024-12-01 00:00:00+00:00,"0,0000",12,4,1,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2025-01-01 00:00:00+00:00,"0,0000",1,1,1,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2025-02-01 00:00:00+00:00,"0,0000",2,1,1,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2025-03-01 00:00:00+00:00,"0,0000",3,1,2,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2025-04-01 00:00:00+00:00,"0,0000",4,2,2,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2025-05-01 00:00:00+00:00,"0,0000",5,2,2,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2025-06-01 00:00:00+00:00,"0,0000",6,2,3,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2025-07-01 00:00:00+00:00,"0,0000",7,3,3,"2,214,424","2,739,976","2,085,496","3,403,364"
36,2025-08-01 00:00:00+00:00,"0,0000",8,3,3,"2,214,424","2,739,976","2,085,496","3,403,364"
