group_id,timestamp,target,month,quarter,season,lag_1m,lag_12m,rolling_mean_3m,rolling_mean_12m
28,2021-01-31 00:00:00+00:00,"69,545,825",1,1,1,,,,
28,2021-02-28 00:00:00+00:00,"71,086,465",2,1,1,"69,545,825",,,
28,2021-03-31 00:00:00+00:00,"59,245,620",3,1,2,"71,086,465",,,
28,2021-04-30 00:00:00+00:00,"41,601,902",4,2,2,"59,245,620",,"66,625,970",
28,2021-05-31 00:00:00+00:00,"31,281,955",5,2,2,"41,601,902",,"57,311,329",
28,2021-06-30 00:00:00+00:00,"20,229,553",6,2,3,"31,281,955",,"44,043,159",
28,2021-07-31 00:00:00+00:00,"20,600,135",7,3,3,"20,229,553",,"31,037,803",
28,2021-08-31 00:00:00+00:00,"22,152,466",8,3,3,"20,600,135",,"24,037,214",
28,2021-09-30 00:00:00+00:00,"30,290,176",9,3,4,"22,152,466",,"20,994,051",
28,2021-10-31 00:00:00+00:00,"35,839,278",10,4,4,"30,290,176",,"24,347,592",
28,2021-11-30 00:00:00+00:00,"48,501,751",11,4,4,"35,839,278",,"29,427,306",
28,2021-12-31 00:00:00+00:00,"73,028,318",12,4,1,"48,501,751",,"38,210,401",
28,2022-01-31 00:00:00+00:00,"64,021,398",1,1,1,"73,028,318","69,545,825","52,456,449","43,616,954"
28,2022-02-28 00:00:00+00:00,"51,628,678",2,1,1,"64,021,398","71,086,465","61,850,489","43,156,585"
28,2022-03-31 00:00:00+00:00,"49,227,222",3,1,2,"51,628,678","59,245,620","62,892,798","41,535,102"
28,2022-04-30 00:00:00+00:00,"39,657,266",4,2,2,"49,227,222","41,601,902","54,959,100","40,700,236"
28,2022-05-31 00:00:00+00:00,"28,562,411",5,2,2,"39,657,266","31,281,955","46,837,722","40,538,183"
28,2022-06-30 00:00:00+00:00,"19,298,715",6,2,3,"28,562,411","20,229,553","39,148,966","40,311,554"
28,2022-07-31 00:00:00+00:00,"18,214,214",7,3,3,"19,298,715","20,600,135","29,172,797","40,233,984"
28,2022-08-31 00:00:00+00:00,"16,578,440",8,3,3,"18,214,214","22,152,466","22,025,113","40,035,158"
28,2022-09-30 00:00:00+00:00,"21,395,031",9,3,4,"16,578,440","30,290,176","18,030,456","39,570,655"
28,2022-10-31 00:00:00+00:00,"28,634,845",10,4,4,"21,395,031","35,839,278","18,729,228","38,829,393"
28,2022-11-30 00:00:00+00:00,"36,394,633",11,4,4,"28,634,845","48,501,751","22,202,772","38,229,024"
28,2022-12-31 00:00:00+00:00,"47,152,676",12,4,1,"36,394,633","73,028,318","28,808,170","37,220,098"
28,2023-01-31 00:00:00+00:00,"48,032,689",1,1,1,"47,152,676","64,021,398","37,394,051","35,063,794"
